from_to,area_m2,year_from,year_to,area_km2,pct_of_area,from_class,to_class
1009,1263387.0615808824,2004,2005,1.2633870615808824,0.08398445145486066,10,9
1010,66957810.31648285,2004,2005,66.95781031648285,4.451062656136288,10,10
1012,9993952.419669118,2004,2005,9.993952419669117,0.6643542880529599,10,12
1013,218769.765625,2004,2005,0.218769765625,0.014542858099190526,10,13
1209,1529869.03125,2004,2005,1.52986903125,0.10169900839932311,12,9
1210,2623224.909620098,2004,2005,2.623224909620098,0.17438052974952523,12,10
1212,506755108.26458347,2004,2005,506.75510826458344,33.68686531924317,12,12
1313,877255335.4053307,2004,2005,877.2553354053307,58.31610151023361,13,13
909,24675255.07720588,2005,2006,24.675255077205883,1.6403031384338975,9,9
910,1312782.390625,2005,2006,1.312782390625,0.08726803709567892,9,10
912,7980166.093259804,2005,2006,7.980166093259804,0.5304865723592785,9,12
1009,1967295.96875,2005,2006,1.96729596875,0.13077723985718517,10,9
1010,62188415.70802697,2005,2006,62.188415708026966,4.134014142546382,10,10
1012,6081549.25245098,2005,2006,6.08154925245098,0.404274820832582,10,12
1013,437411.4375,2005,2006,0.4374114375,0.02907720108558966,10,13
1209,1748798.328125,2005,2006,1.748798328125,0.11625247143893815,12,9
1210,7251418.582659314,2005,2006,7.251418582659315,0.4820426221336895,12,10
1212,510943593.4409315,2005,2006,510.9435934409315,33.96529751208377,12,12
1313,877474105.1709557,2005,2006,877.4741051709557,58.3306443683328,13,13
909,21390039.34283088,2006,2007,21.39003934283088,1.4219163512389126,9,9
910,1969338.71875,2006,2007,1.96933871875,0.13091303295134174,9,10
912,5031971.3125,2006,2007,5.0319713125,0.3345034655397666,9,12
1009,437402.234375,2006,2007,0.437402234375,0.029076589302052928,10,9
1010,61599272.14325981,2006,2007,61.59927214325981,4.094850452637117,10,10
1012,8278770.42867647,2006,2007,8.27877042867647,0.5503364838192166,10,12
1013,437171.875,2006,2007,0.437171875,0.029061276017363556,10,13
1207,229049.59852941177,2006,2007,0.22904959852941176,0.015226216472707775,12,7
1209,1313392.4375,2006,2007,1.3133924375,0.08730859034631495,12,9
1210,2216103.8610294117,2006,2007,2.2161038610294117,0.14731690136407063,12,10
1212,520810122.6395834,2006,2007,520.8101226395834,34.62118126118222,12,12
1213,436640.25,2006,2007,0.43664025,0.029025935910311308,12,13
1313,877911516.6084557,2006,2007,877.9115166084557,58.35972156941839,13,13
712,229049.59852941177,2007,2008,0.22904959852941176,0.015226216472707775,7,12
909,16138781.014705881,2007,2008,16.13878101470588,1.0728356430800914,9,9
910,1749928.03125,2007,2008,1.74992803125,0.11632756916642419,9,10
912,5252124.96875,2007,2008,5.25212496875,0.349138318640765,9,12
1009,437301.546875,2007,2008,0.437301546875,0.02906989603700929,10,9
1010,49823562.776470594,2007,2008,49.823562776470595,3.3120527481678743,10,10
1012,15305557.915318627,2007,2008,15.305557915318627,1.017446612220464,10,12
1013,218292.484375,2007,2008,0.218292484375,0.014511130527182007,10,13
1209,2184881.5,2007,2008,2.1848815,0.14524137522966524,12,9
1210,3168266.3594362745,2007,2008,3.1682663594362745,0.21061250376206186,12,10
1212,527021173.9900736,2007,2008,527.0211739900736,35.03406481563003,12,12
1213,1746542.53125,2007,2008,1.74654253125,0.11610251591944486,12,13
1313,878785328.7334557,2007,2008,878.7853287334557,58.41780878134606,13,13
909,13732987.092830881,2008,2009,13.732987092830882,0.9129089753261217,9,9
910,874804.359375,2008,2009,0.874804359375,0.058153171333333774,9,10
912,3934953.875,2008,2009,3.934953875,0.2615785397378761,9,12
913,218218.734375,2008,2009,0.218218734375,0.014506227949434338,9,13
1010,49925084.09417892,2008,2009,49.92508409417892,3.318801441769374,10,10
1012,4160739.244852941,2008,2009,4.160739244852941,0.2765877645512949,10,12
1013,655933.828125,2008,2009,0.655933828125,0.043603614775690976,10,13
1207,54049.00091911765,2008,2009,0.05404900091911765,0.003592941412741189,12,7
1209,874793.125,2008,2009,0.874793125,0.05815242452117264,12,9
1210,2577971.4395220587,2008,2009,2.5779714395220585,0.17137227679349362,12,10
1212,543427141.3916057,2008,2009,543.4271413916057,36.12466184222923,12,12
1213,873951.515625,2008,2009,0.873951515625,0.0580964780073543,12,13
1313,880750163.7490807,2008,2009,880.7501637490807,58.54842242779269,13,13
707,54049.00091911765,2009,2010,0.05404900091911765,0.003592941412741189,7,7
909,12640597.795955881,2009,2010,12.640597795955882,0.8402917080902134,9,9
910,874821.765625,2009,2010,0.874821765625,0.05815432842477676,9,10
912,1092360.65625,2009,2010,1.09236065625,0.07261536333230412,9,12
1010,48747364.13296569,2009,2010,48.74736413296569,3.2405117648225747,10,10
1012,1131114.197610294,2009,2010,1.131114197610294,0.07519152942743962,10,12
1013,3499381.5625,2009,2010,3.4993815625,0.2326235956461871,10,13
1209,1312853.03125,2009,2010,1.31285303125,0.08727273297576307,12,9
1210,5052626.429718138,2009,2010,5.052626429718138,0.3358765274794152,12,10
1212,543192842.5192405,2009,2010,543.1928425192405,36.10908667696874,12,12
1213,1964512.53125,2009,2010,1.96451253125,0.13059220909447983,12,13
1313,882498267.8272057,2009,2010,882.4982678272056,58.664628748525175,13,13
707,54049.00091911765,2010,2011,0.05404900091911765,0.003592941412741189,7,7
909,13078831.592830881,2010,2011,13.078831592830882,0.8694235760337347,9,9
912,874619.234375,2010,2011,0.874619234375,0.05814086503224175,9,12
1009,3717801.890625,2010,2011,3.717801890625,0.24714322466725286,10,9
1010,41641722.954534315,2010,2011,41.641722954534316,2.768159787544213,10,10
1012,7347680.87377451,2010,2011,7.34768087377451,0.4884417186267164,10,12
1013,1967606.609375,2010,2011,1.967606609375,0.13079788988858376,10,13
1209,1093597.625,2010,2011,1.093597625,0.0726975916098405,12,9
1210,3303621.3352941177,2010,2011,3.3036213352941175,0.21961031112038829,12,10
1212,540800759.8815564,2010,2011,540.8007598815564,35.950071475476,12,12
1213,218338.53125,2010,2011,0.21833853125,0.014514191522229119,12,13
1313,887962161.9209557,2010,2011,887.9621619209556,59.02784455326583,13,13
707,54049.00091911765,2011,2012,0.05404900091911765,0.003592941412741189,7,7
